,gamma,beta,rho,MaxVNE
210,2.0,1.0,0.1,0.8582202403921797
211,2.0,1.0,0.2,0.8575684866576317
212,2.0,1.0,0.3,0.8588546454235297
213,2.0,1.0,0.4,0.858524600844702
214,2.0,1.0,0.5,0.8578090708673196
215,2.0,1.0,0.6,0.8574420324793272
216,2.0,1.0,0.7,0.8576672675815123
217,2.0,1.0,0.8,0.8570022577495339
218,2.0,1.0,0.82,0.85746842958543
219,2.0,1.0,0.84,0.8565915312008647
220,2.0,1.0,0.86,0.8566579928382984
221,2.0,1.0,0.88,0.8569474766798981
222,2.0,1.0,0.9,0.8563072000495089
223,2.0,1.0,0.92,0.8572894912776524
224,2.0,1.0,0.94,0.8560118176873034
225,2.0,1.0,0.96,0.8572027846769071
226,2.0,1.0,0.98,0.8579672430743156
227,2.0,1.0,0.99,0.857038411805844
228,2.0,1.0,0.999,0.8567372656476919
229,2.0,1.0,0.9999,0.8564346215057457
230,2.0,1.0,1.0,0.8564008565133542
231,2.0,2.0,0.1,0.8491333643714333
232,2.0,2.0,0.2,0.8487080521292882
233,2.0,2.0,0.3,0.8461951609334731
234,2.0,2.0,0.4,0.8467732712899386
235,2.0,2.0,0.5,0.8448005927168513
236,2.0,2.0,0.6,0.8454291387595627
237,2.0,2.0,0.7,0.8468565971275828
238,2.0,2.0,0.8,0.8482416781052722
239,2.0,2.0,0.82,0.8470281658695368
240,2.0,2.0,0.84,0.846802494555503
241,2.0,2.0,0.86,0.8463631158946173
242,2.0,2.0,0.88,0.8473504590157747
243,2.0,2.0,0.9,0.8474107686868504
244,2.0,2.0,0.92,0.8495519894721189
245,2.0,2.0,0.94,0.8505359213780037
246,2.0,2.0,0.96,0.8514836242768786
247,2.0,2.0,0.98,0.8543087646714559
248,2.0,2.0,0.99,0.8553286367459354
249,2.0,2.0,0.999,0.8562746603276798
250,2.0,2.0,0.9999,0.8564246537676866
251,2.0,2.0,1.0,0.8564008565133542
252,2.0,3.0,0.1,0.8446831260069045
253,2.0,3.0,0.2,0.8443387958128984
254,2.0,3.0,0.3,0.8432322811745175
255,2.0,3.0,0.4,0.843697340574706
256,2.0,3.0,0.5,0.8436245550346254
257,2.0,3.0,0.6,0.8431601652073833
258,2.0,3.0,0.7,0.8427618867836215
259,2.0,3.0,0.8,0.8431769726628436
260,2.0,3.0,0.82,0.8429778942820133
261,2.0,3.0,0.84,0.8428310274126442
262,2.0,3.0,0.86,0.8448522554980769
263,2.0,3.0,0.88,0.845454475388742
264,2.0,3.0,0.9,0.846845136155087
265,2.0,3.0,0.92,0.8477768833562775
266,2.0,3.0,0.94,0.8475295547937363
267,2.0,3.0,0.96,0.850232359719208
268,2.0,3.0,0.98,0.8523034838061778
269,2.0,3.0,0.99,0.8539699940323147
270,2.0,3.0,0.999,0.8562783091310631
271,2.0,3.0,0.9999,0.8562911231379206
272,2.0,3.0,1.0,0.8564008565133542
273,2.0,4.0,0.1,0.8451402831494144
274,2.0,4.0,0.2,0.8432269602163872
275,2.0,4.0,0.3,0.844170774514703
276,2.0,4.0,0.4,0.84355300384719
277,2.0,4.0,0.5,0.8430183671988228
278,2.0,4.0,0.6,0.8422143735494109
279,2.0,4.0,0.7,0.8429002239351574
280,2.0,4.0,0.8,0.8418158027135406
281,2.0,4.0,0.82,0.8433515333990317
282,2.0,4.0,0.84,0.8439433139844292
283,2.0,4.0,0.86,0.8441267187834092
284,2.0,4.0,0.88,0.8451547736859046
285,2.0,4.0,0.9,0.8458277397730593
286,2.0,4.0,0.92,0.8473488123943954
287,2.0,4.0,0.94,0.84837564349985
288,2.0,4.0,0.96,0.8489892306559039
289,2.0,4.0,0.98,0.8523955028754718
290,2.0,4.0,0.99,0.8535065746451302
291,2.0,4.0,0.999,0.8556424169662973
292,2.0,4.0,0.9999,0.8557399059115604
293,2.0,4.0,1.0,0.8564008565133542
294,2.0,5.0,0.1,0.8355871522364423
295,2.0,5.0,0.2,0.8348849599957324
296,2.0,5.0,0.3,0.8334695801693945
297,2.0,5.0,0.4,0.8336602605098123
298,2.0,5.0,0.5,0.8319213885945187
299,2.0,5.0,0.6,0.8343642623044278
300,2.0,5.0,0.7,0.832515936712946
301,2.0,5.0,0.8,0.835964344006142
302,2.0,5.0,0.82,0.8357582590777167
303,2.0,5.0,0.84,0.8366840779924871
304,2.0,5.0,0.86,0.8376829453006319
305,2.0,5.0,0.88,0.8391723570009227
306,2.0,5.0,0.9,0.8393323329885922
307,2.0,5.0,0.92,0.841093352482873
308,2.0,5.0,0.94,0.8413738300464869
309,2.0,5.0,0.96,0.8444194551260366
310,2.0,5.0,0.98,0.8471363524712908
311,2.0,5.0,0.99,0.8500308112619416
312,2.0,5.0,0.999,0.8543107379763666
313,2.0,5.0,0.9999,0.8558288875225455
314,2.0,5.0,1.0,0.8564008565133544
315,2.0,6.0,0.1,0.8370759380121918
316,2.0,6.0,0.2,0.8382062580699567
317,2.0,6.0,0.3,0.8368857764210933
318,2.0,6.0,0.4,0.835962210926902
319,2.0,6.0,0.5,0.8355974911078735
320,2.0,6.0,0.6,0.8354061952286865
321,2.0,6.0,0.7,0.83636567410489
322,2.0,6.0,0.8,0.8372227267282905
323,2.0,6.0,0.82,0.8390418797682757
324,2.0,6.0,0.84,0.838698652816329
325,2.0,6.0,0.86,0.8380442429449615
326,2.0,6.0,0.88,0.839146179641274
327,2.0,6.0,0.9,0.83919524022436
328,2.0,6.0,0.92,0.8412779300384722
329,2.0,6.0,0.94,0.8436573419051853
330,2.0,6.0,0.96,0.845503878256659
331,2.0,6.0,0.98,0.8488996535482601
332,2.0,6.0,0.99,0.8516160397590361
333,2.0,6.0,0.999,0.8537222826067862
334,2.0,6.0,0.9999,0.8552098741183608
335,2.0,6.0,1.0,0.8564008565133544
336,2.0,7.0,0.1,0.8309395859449555
337,2.0,7.0,0.2,0.8295902244973983
338,2.0,7.0,0.3,0.8305550763554974
339,2.0,7.0,0.4,0.8288020119044593
340,2.0,7.0,0.5,0.8298434713211709
341,2.0,7.0,0.6,0.8276804446042009
342,2.0,7.0,0.7,0.8293928161048034
343,2.0,7.0,0.8,0.8315980331894195
344,2.0,7.0,0.82,0.8315543340215988
345,2.0,7.0,0.84,0.8313977273356891
346,2.0,7.0,0.86,0.8330654230485137
