,gamma,beta,rho,MaxVNE
307,2.0,5.0,0.92,0.952178548102539
308,2.0,5.0,0.94,0.952979829742999
309,2.0,5.0,0.96,0.9527401625248647
310,2.0,5.0,0.98,0.9517731026091231
311,2.0,5.0,0.99,0.9521709419373364
312,2.0,5.0,0.999,0.9508437668400631
313,2.0,5.0,0.9999,0.947536990442607
314,2.0,5.0,1.0,0.9433029501075127
315,2.0,6.0,0.1,0.9525600437437665
316,2.0,6.0,0.2,0.9527592094075771
317,2.0,6.0,0.3,0.9528103905621605
318,2.0,6.0,0.4,0.9528597662318811
319,2.0,6.0,0.5,0.9525584413583729
320,2.0,6.0,0.6,0.9525831221267443
321,2.0,6.0,0.7,0.9528011514531652
322,2.0,6.0,0.8,0.9521036232434081
323,2.0,6.0,0.82,0.9527765162362758
324,2.0,6.0,0.84,0.9523958399847975
325,2.0,6.0,0.86,0.9534720797385204
326,2.0,6.0,0.88,0.9528885268313166
327,2.0,6.0,0.9,0.9530395446448503
328,2.0,6.0,0.92,0.9526898225298446
329,2.0,6.0,0.94,0.9524723896898306
330,2.0,6.0,0.96,0.9521532859700744
331,2.0,6.0,0.98,0.9522255072906816
332,2.0,6.0,0.99,0.9517448843241856
333,2.0,6.0,0.999,0.948101363062113
334,2.0,6.0,0.9999,0.9448450921576734
335,2.0,6.0,1.0,0.9300403310822786
336,2.0,7.0,0.1,0.953060613404972
337,2.0,7.0,0.2,0.9530180072352428
338,2.0,7.0,0.3,0.9520707417221164
339,2.0,7.0,0.4,0.952646748666369
340,2.0,7.0,0.5,0.9531232892452074
341,2.0,7.0,0.6,0.9527318525081822
342,2.0,7.0,0.7,0.9529657161381715
343,2.0,7.0,0.8,0.9527471424433503
344,2.0,7.0,0.82,0.9531452559031103
345,2.0,7.0,0.84,0.9528651174270292
346,2.0,7.0,0.86,0.9525411958506139
347,2.0,7.0,0.88,0.9524032204189931
348,2.0,7.0,0.9,0.9529991694337163
349,2.0,7.0,0.92,0.9522716535284288
350,2.0,7.0,0.94,0.9525715548556243
351,2.0,7.0,0.96,0.9526642626885508
352,2.0,7.0,0.98,0.9514900467712223
353,2.0,7.0,0.99,0.9524081983441514
354,2.0,7.0,0.999,0.9455544825780509
355,2.0,7.0,0.9999,0.9327835287804507
356,2.0,7.0,1.0,0.9080385219511687
357,2.0,8.0,0.1,0.9526186687762145
358,2.0,8.0,0.2,0.9529084555677777
359,2.0,8.0,0.3,0.9528029632793429
360,2.0,8.0,0.4,0.9533287159125728
361,2.0,8.0,0.5,0.9526224965332514
362,2.0,8.0,0.6,0.9519174234568668
363,2.0,8.0,0.7,0.9525206536649601
364,2.0,8.0,0.8,0.95298655224529
365,2.0,8.0,0.82,0.953131550928547
366,2.0,8.0,0.84,0.9525084669913242
367,2.0,8.0,0.86,0.9527518537300738
368,2.0,8.0,0.88,0.9527100042148421
369,2.0,8.0,0.9,0.9527265082540056
370,2.0,8.0,0.92,0.9528805968258953
371,2.0,8.0,0.94,0.9521072935989758
372,2.0,8.0,0.96,0.9529438974083886
373,2.0,8.0,0.98,0.9523554902842226
374,2.0,8.0,0.99,0.9511763171237413
375,2.0,8.0,0.999,0.9512966478779873
376,2.0,8.0,0.9999,0.9432362165971605
377,2.0,8.0,1.0,0.9023080158636014
378,2.0,9.0,0.1,0.9531407417114102
379,2.0,9.0,0.2,0.9531589525183712
380,2.0,9.0,0.3,0.9531285554139632
381,2.0,9.0,0.4,0.9531554714426728
382,2.0,9.0,0.5,0.9529468851609297
383,2.0,9.0,0.6,0.9534813797634547
384,2.0,9.0,0.7,0.9537809224330316
385,2.0,9.0,0.8,0.9530337615700153
386,2.0,9.0,0.82,0.9530719792874234
387,2.0,9.0,0.84,0.9526781896251759
388,2.0,9.0,0.86,0.9531020633156828
389,2.0,9.0,0.88,0.952380815827836
390,2.0,9.0,0.9,0.9532509056539684
391,2.0,9.0,0.92,0.9529773615153162
392,2.0,9.0,0.94,0.9520643865085939
393,2.0,9.0,0.96,0.9526316589394042
394,2.0,9.0,0.98,0.9512871703804667
395,2.0,9.0,0.99,0.9508739061916516
396,2.0,9.0,0.999,0.9477633331622812
397,2.0,9.0,0.9999,0.9448520871130028
398,2.0,9.0,1.0,0.8710700899934032
399,2.0,10.0,0.1,0.9535126529256733
400,2.0,10.0,0.2,0.9527383868931826
401,2.0,10.0,0.3,0.9531860373741601
402,2.0,10.0,0.4,0.9538017732000669
403,2.0,10.0,0.5,0.9540160264181192
404,2.0,10.0,0.6,0.9540193132621181
405,2.0,10.0,0.7,0.9538361175138615
406,2.0,10.0,0.8,0.9536208705071003
407,2.0,10.0,0.82,0.9533620530792054
408,2.0,10.0,0.84,0.9528413069256453
409,2.0,10.0,0.86,0.9534873660658
410,2.0,10.0,0.88,0.9533146402618463
411,2.0,10.0,0.9,0.9528065004320976
412,2.0,10.0,0.92,0.9526081709822808
413,2.0,10.0,0.94,0.9535924520271567
414,2.0,10.0,0.96,0.9520804752946133
415,2.0,10.0,0.98,0.9521036057780333
416,2.0,10.0,0.99,0.9523098371767955
417,2.0,10.0,0.999,0.9427098823171604
418,2.0,10.0,0.9999,0.9414068323935987
419,2.0,10.0,1.0,0.8568693631768509
420,3.0,1.0,0.1,0.9519396389008634
421,3.0,1.0,0.2,0.9522882975119373
422,3.0,1.0,0.3,0.9518838505411026
423,3.0,1.0,0.4,0.9524308997410806
424,3.0,1.0,0.5,0.9530538641476006
425,3.0,1.0,0.6,0.9522116036049929
426,3.0,1.0,0.7,0.9520640329415894
427,3.0,1.0,0.8,0.9524383992443657
428,3.0,1.0,0.82,0.9525479882851563
429,3.0,1.0,0.84,0.9522242396866254
430,3.0,1.0,0.86,0.9519446742556595
431,3.0,1.0,0.88,0.9525250674379925
432,3.0,1.0,0.9,0.9520781494279281
433,3.0,1.0,0.92,0.9525668282604881
434,3.0,1.0,0.94,0.9518762113073065
435,3.0,1.0,0.96,0.9526304003492203
436,3.0,1.0,0.98,0.9531619434629062
437,3.0,1.0,0.99,0.9531344332901313
438,3.0,1.0,0.999,0.9530488939030841
439,3.0,1.0,0.9999,0.9527945333958141
440,3.0,1.0,1.0,0.9532829003960301
441,3.0,2.0,0.1,0.9526395580138663
442,3.0,2.0,0.2,0.9521879629618647
443,3.0,2.0,0.3,0.9520570711375559
444,3.0,2.0,0.4,0.9524458127337563
445,3.0,2.0,0.5,0.9520411949014226
446,3.0,2.0,0.6,0.9518793428856684
447,3.0,2.0,0.7,0.9522919752284958
448,3.0,2.0,0.8,0.9525663076516103
449,3.0,2.0,0.82,0.9522594279927445
450,3.0,2.0,0.84,0.9517835911363481
451,3.0,2.0,0.86,0.9525948814369587
452,3.0,2.0,0.88,0.9522928659649016
453,3.0,2.0,0.9,0.9525777045808357
454,3.0,2.0,0.92,0.9526854171807236
455,3.0,2.0,0.94,0.9522422769254945
456,3.0,2.0,0.96,0.9522376148525195
457,3.0,2.0,0.98,0.952494608842903
