,gamma,beta,rho,MaxVNE
288,2.0,4.0,0.96,0.6409239400641659
289,2.0,4.0,0.98,0.6573808600086176
290,2.0,4.0,0.99,0.6638333797321666
291,2.0,4.0,0.999,0.6504549279698023
292,2.0,4.0,0.9999,0.6626300378050827
293,2.0,4.0,1.0,0.6763607831294438
294,2.0,5.0,0.1,0.5738399823867347
295,2.0,5.0,0.2,0.5388760891038549
296,2.0,5.0,0.3,0.5601410601600485
297,2.0,5.0,0.4,0.5270607694009656
298,2.0,5.0,0.5,0.5351384641285483
299,2.0,5.0,0.6,0.5220766989837107
300,2.0,5.0,0.7,0.5411866649112839
301,2.0,5.0,0.8,0.5441549288932163
302,2.0,5.0,0.82,0.5580089823383595
303,2.0,5.0,0.84,0.5406508819309156
304,2.0,5.0,0.86,0.5528875735549929
305,2.0,5.0,0.88,0.5848176426764652
306,2.0,5.0,0.9,0.573514325850751
307,2.0,5.0,0.92,0.5889087124118262
308,2.0,5.0,0.94,0.5799938531882548
309,2.0,5.0,0.96,0.5931564096723637
310,2.0,5.0,0.98,0.6110499352996178
311,2.0,5.0,0.99,0.6244628213389464
312,2.0,5.0,0.999,0.642930095038681
313,2.0,5.0,0.9999,0.6639405570907503
314,2.0,5.0,1.0,0.6512037461878604
315,2.0,6.0,0.1,0.5853479971199024
316,2.0,6.0,0.2,0.5983205955508257
317,2.0,6.0,0.3,0.5939130767355766
318,2.0,6.0,0.4,0.5938122029946886
319,2.0,6.0,0.5,0.5857332411396832
320,2.0,6.0,0.6,0.5827081592818849
321,2.0,6.0,0.7,0.5715101556267577
322,2.0,6.0,0.8,0.5760425238988589
323,2.0,6.0,0.82,0.5861792037072844
324,2.0,6.0,0.84,0.5949934679538171
325,2.0,6.0,0.86,0.5924446475013208
326,2.0,6.0,0.88,0.5979218438603787
327,2.0,6.0,0.9,0.5935109476940919
328,2.0,6.0,0.92,0.6031361898499614
329,2.0,6.0,0.94,0.6197225404531977
330,2.0,6.0,0.96,0.6190585624018231
331,2.0,6.0,0.98,0.6317163915381837
332,2.0,6.0,0.99,0.6380268743735761
333,2.0,6.0,0.999,0.6411666984389394
334,2.0,6.0,0.9999,0.6283057398698856
335,2.0,6.0,1.0,0.6262128028711398
336,2.0,7.0,0.1,0.46795691063459605
337,2.0,7.0,0.2,0.5039609176865157
338,2.0,7.0,0.3,0.4786853752858031
339,2.0,7.0,0.4,0.46896825320089836
340,2.0,7.0,0.5,0.4888411887345392
341,2.0,7.0,0.6,0.46709303854413364
342,2.0,7.0,0.7,0.4558251270292651
343,2.0,7.0,0.8,0.5140943002268104
344,2.0,7.0,0.82,0.5039833296132891
345,2.0,7.0,0.84,0.4679800136720831
346,2.0,7.0,0.86,0.4791352548239327
347,2.0,7.0,0.88,0.4959612774491453
348,2.0,7.0,0.9,0.4900312623558435
349,2.0,7.0,0.92,0.47707166146785773
350,2.0,7.0,0.94,0.5052967801456396
351,2.0,7.0,0.96,0.5093081548554187
352,2.0,7.0,0.98,0.5258203982701932
353,2.0,7.0,0.99,0.5450204825323436
354,2.0,7.0,0.999,0.5531818740846832
355,2.0,7.0,0.9999,0.5181729975352819
356,2.0,7.0,1.0,0.5478448334989007
357,2.0,8.0,0.1,0.48603276682263863
358,2.0,8.0,0.2,0.4958634546058633
359,2.0,8.0,0.3,0.4928957580682558
360,2.0,8.0,0.4,0.4240791426734662
361,2.0,8.0,0.5,0.4860467902787971
362,2.0,8.0,0.6,0.44873637301796504
363,2.0,8.0,0.7,0.4860988326274164
364,2.0,8.0,0.8,0.464148918342982
365,2.0,8.0,0.82,0.4957508009305267
366,2.0,8.0,0.84,0.4887600248653634
367,2.0,8.0,0.86,0.4957092088316311
368,2.0,8.0,0.88,0.5006205074777484
369,2.0,8.0,0.9,0.5043853174220297
370,2.0,8.0,0.92,0.5038478124243648
371,2.0,8.0,0.94,0.5083201489797183
372,2.0,8.0,0.96,0.5031854172019352
373,2.0,8.0,0.98,0.5164566907227096
374,2.0,8.0,0.99,0.5294728379530709
375,2.0,8.0,0.999,0.5540523411214429
376,2.0,8.0,0.9999,0.5442672155116749
377,2.0,8.0,1.0,0.5330736940083896
378,2.0,9.0,0.1,0.34711983844489935
379,2.0,9.0,0.2,0.38612143116999603
380,2.0,9.0,0.3,0.3812465250280859
381,2.0,9.0,0.4,0.40303852612061297
382,2.0,9.0,0.5,0.4044960764727151
383,2.0,9.0,0.6,0.3542363808018994
384,2.0,9.0,0.7,0.39022294515444944
385,2.0,9.0,0.8,0.40891829899348037
386,2.0,9.0,0.82,0.3552897593942005
387,2.0,9.0,0.84,0.4104587064058974
388,2.0,9.0,0.86,0.41737482251532104
389,2.0,9.0,0.88,0.4045509524842266
390,2.0,9.0,0.9,0.39952583401060526
391,2.0,9.0,0.92,0.4041133329233013
392,2.0,9.0,0.94,0.4305472273746508
393,2.0,9.0,0.96,0.42055454810744
394,2.0,9.0,0.98,0.4071076120593678
395,2.0,9.0,0.99,0.44746443641459976
396,2.0,9.0,0.999,0.4480720840114791
397,2.0,9.0,0.9999,0.45844943415413847
398,2.0,9.0,1.0,0.4441647650703237
399,2.0,10.0,0.1,0.27918939606696075
400,2.0,10.0,0.2,0.3423908161103787
401,2.0,10.0,0.3,0.29766334325936544
402,2.0,10.0,0.4,0.2750356435369642
403,2.0,10.0,0.5,0.24917762496052728
404,2.0,10.0,0.6,0.33005337837005116
405,2.0,10.0,0.7,0.29142199207388564
406,2.0,10.0,0.8,0.28973342721965617
407,2.0,10.0,0.82,0.3238112247734378
408,2.0,10.0,0.84,0.31889577782266587
409,2.0,10.0,0.86,0.31502016722230874
410,2.0,10.0,0.88,0.292239657602218
411,2.0,10.0,0.9,0.29425235411092454
412,2.0,10.0,0.92,0.30812761004603956
413,2.0,10.0,0.94,0.29735280408622516
414,2.0,10.0,0.96,0.33525731734337955
415,2.0,10.0,0.98,0.3271084073849485
416,2.0,10.0,0.99,0.38294950483671547
417,2.0,10.0,0.999,0.348757998060488
418,2.0,10.0,0.9999,0.3603783699053809
419,2.0,10.0,1.0,0.3647236794795925
420,3.0,1.0,0.1,0.8753305751609457
421,3.0,1.0,0.2,0.8831762305288661
422,3.0,1.0,0.3,0.861618085271535
423,3.0,1.0,0.4,0.888018438541104
424,3.0,1.0,0.5,0.8588304631025405
425,3.0,1.0,0.6,0.8704148499105054
426,3.0,1.0,0.7,0.8759421330524227
427,3.0,1.0,0.8,0.8539409344783527
428,3.0,1.0,0.82,0.8551815078183235
429,3.0,1.0,0.84,0.8665397250876502
430,3.0,1.0,0.86,0.8451077174498507
431,3.0,1.0,0.88,0.8654963419723073
432,3.0,1.0,0.9,0.8573607561325745
433,3.0,1.0,0.92,0.8229183287592238
434,3.0,1.0,0.94,0.8455027087967897
435,3.0,1.0,0.96,0.8559027024425984
436,3.0,1.0,0.98,0.8399295235180506
437,3.0,1.0,0.99,0.8662876134190612
438,3.0,1.0,0.999,0.8731356087843299
439,3.0,1.0,0.9999,0.8839644886602416
440,3.0,1.0,1.0,0.8560484157298317
441,3.0,2.0,0.1,0.833754972572004
442,3.0,2.0,0.2,0.8340362166640177
443,3.0,2.0,0.3,0.8225386251522865
444,3.0,2.0,0.4,0.8197978235300303
445,3.0,2.0,0.5,0.8123025541300821
446,3.0,2.0,0.6,0.8233674933707307
447,3.0,2.0,0.7,0.8133247486758581
448,3.0,2.0,0.8,0.8051283438431426
449,3.0,2.0,0.82,0.8100800625468424
450,3.0,2.0,0.84,0.8093007357211806
451,3.0,2.0,0.86,0.8031976735505948
452,3.0,2.0,0.88,0.7953782907995065
453,3.0,2.0,0.9,0.8128314679765496
454,3.0,2.0,0.92,0.8046235952851586
455,3.0,2.0,0.94,0.8134350179019165
456,3.0,2.0,0.96,0.8168263253038984
457,3.0,2.0,0.98,0.8312129792870511
458,3.0,2.0,0.99,0.8038156950383877
459,3.0,2.0,0.999,0.8243593497072533
460,3.0,2.0,0.9999,0.8218598787695754
461,3.0,2.0,1.0,0.8173462454844089
462,3.0,3.0,0.1,0.7167936363943231
463,3.0,3.0,0.2,0.713759359184847
464,3.0,3.0,0.3,0.7024267254057741
465,3.0,3.0,0.4,0.7013891028567896
466,3.0,3.0,0.5,0.7198163794983744
467,3.0,3.0,0.6,0.7061344447577412
468,3.0,3.0,0.7,0.687095944692435
469,3.0,3.0,0.8,0.6863203070958978
470,3.0,3.0,0.82,0.6993323749834233
471,3.0,3.0,0.84,0.702376249875802
472,3.0,3.0,0.86,0.6913375300305655
473,3.0,3.0,0.88,0.6831710073487263
474,3.0,3.0,0.9,0.6902401923331473
475,3.0,3.0,0.92,0.6905090146169174
476,3.0,3.0,0.94,0.6863076963620269
477,3.0,3.0,0.96,0.7030523151043294
478,3.0,3.0,0.98,0.706230263371884
479,3.0,3.0,0.99,0.7165100383857445
480,3.0,3.0,0.999,0.7200895084375887
481,3.0,3.0,0.9999,0.735921748264565
482,3.0,3.0,1.0,0.7334148791862274
483,3.0,4.0,0.1,0.6380493711467375
484,3.0,4.0,0.2,0.661776386065507
485,3.0,4.0,0.3,0.6435633942024581
486,3.0,4.0,0.4,0.6479227673859334
487,3.0,4.0,0.5,0.6290236123607699
488,3.0,4.0,0.6,0.6373721863109644
489,3.0,4.0,0.7,0.6139730802665749
490,3.0,4.0,0.8,0.6235931205815071
491,3.0,4.0,0.82,0.6057172475779651
492,3.0,4.0,0.84,0.6266420805511346
493,3.0,4.0,0.86,0.6291403579973192
494,3.0,4.0,0.88,0.6191428694887476
495,3.0,4.0,0.9,0.626061361699884
496,3.0,4.0,0.92,0.6126326987329705
497,3.0,4.0,0.94,0.6326698910902792
498,3.0,4.0,0.96,0.6275125255923607
499,3.0,4.0,0.98,0.6231654088713007
500,3.0,4.0,0.99,0.6359294721375185
501,3.0,4.0,0.999,0.6431853565019847
502,3.0,4.0,0.9999,0.6791829993421932
503,3.0,4.0,1.0,0.6777876006384929
504,3.0,5.0,0.1,0.5996000154937112
505,3.0,5.0,0.2,0.6183455509309401
506,3.0,5.0,0.3,0.6081490702894493
507,3.0,5.0,0.4,0.6107743112558318
508,3.0,5.0,0.5,0.6231109050003996
509,3.0,5.0,0.6,0.5822979422027237
510,3.0,5.0,0.7,0.5874795267273801
511,3.0,5.0,0.8,0.602681417551581
512,3.0,5.0,0.82,0.5986731492681692
513,3.0,5.0,0.84,0.5998836959004631
514,3.0,5.0,0.86,0.6079879321289435
515,3.0,5.0,0.88,0.5923028190986028
516,3.0,5.0,0.9,0.6045465465100783
517,3.0,5.0,0.92,0.610689184554198
518,3.0,5.0,0.94,0.6031566927389677
519,3.0,5.0,0.96,0.6031764273789441
520,3.0,5.0,0.98,0.6112266781643046
521,3.0,5.0,0.99,0.6092845577110664
522,3.0,5.0,0.999,0.6266025235936732
523,3.0,5.0,0.9999,0.6404980887789301
524,3.0,5.0,1.0,0.6279292794133527
525,3.0,6.0,0.1,0.5553549535617573
526,3.0,6.0,0.2,0.5299952590092236
527,3.0,6.0,0.3,0.5249946501653586
528,3.0,6.0,0.4,0.5517633307950925
529,3.0,6.0,0.5,0.5488750724387783
530,3.0,6.0,0.6,0.5299822547210523
531,3.0,6.0,0.7,0.5416179129792291
532,3.0,6.0,0.8,0.5400265502205874
533,3.0,6.0,0.82,0.5323035759997005
534,3.0,6.0,0.84,0.5408525480568946
535,3.0,6.0,0.86,0.5360344354233515
536,3.0,6.0,0.88,0.5476555078229295
537,3.0,6.0,0.9,0.5288073882840626
538,3.0,6.0,0.92,0.5375800346875873
539,3.0,6.0,0.94,0.5477823646367936
540,3.0,6.0,0.96,0.5410490350533201
541,3.0,6.0,0.98,0.5424743040755082
542,3.0,6.0,0.99,0.576124804530866
543,3.0,6.0,0.999,0.5784917116955526
544,3.0,6.0,0.9999,0.55833260877822
545,3.0,6.0,1.0,0.5769341014410162
546,3.0,7.0,0.1,0.4651755257461051
547,3.0,7.0,0.2,0.4831517566289074
548,3.0,7.0,0.3,0.44437622729396387
549,3.0,7.0,0.4,0.46789783337803087
550,3.0,7.0,0.5,0.4687516546381128
551,3.0,7.0,0.6,0.4643176141905046
552,3.0,7.0,0.7,0.4447879208691212
553,3.0,7.0,0.8,0.4494209352084977
554,3.0,7.0,0.82,0.4277589176006565
555,3.0,7.0,0.84,0.4692811784991429
556,3.0,7.0,0.86,0.4271479679779946
557,3.0,7.0,0.88,0.4316285851974928
558,3.0,7.0,0.9,0.430337510467854
559,3.0,7.0,0.92,0.4818823445338367
560,3.0,7.0,0.94,0.47220867802405225
561,3.0,7.0,0.96,0.510267607184889
562,3.0,7.0,0.98,0.5004118519733961
563,3.0,7.0,0.99,0.5075366019387675
564,3.0,7.0,0.999,0.5442776762710475
565,3.0,7.0,0.9999,0.5384763557321868
566,3.0,7.0,1.0,0.4830358298478127
567,3.0,8.0,0.1,0.4595867588981405
568,3.0,8.0,0.2,0.4661751365994913
569,3.0,8.0,0.3,0.4427232003524446
570,3.0,8.0,0.4,0.44990027491241336
571,3.0,8.0,0.5,0.46554607465701886
572,3.0,8.0,0.6,0.4519560418536956
573,3.0,8.0,0.7,0.44564800591927894
574,3.0,8.0,0.8,0.42174106760476193
575,3.0,8.0,0.82,0.47750083404014604
576,3.0,8.0,0.84,0.44653150075619996
577,3.0,8.0,0.86,0.46298374002405146
578,3.0,8.0,0.88,0.44419553753877977
579,3.0,8.0,0.9,0.431240038618165
580,3.0,8.0,0.92,0.45819031430858903
581,3.0,8.0,0.94,0.4570628190126926
582,3.0,8.0,0.96,0.48528411536082006
583,3.0,8.0,0.98,0.5158864221702614
584,3.0,8.0,0.99,0.5066077333855833
585,3.0,8.0,0.999,0.5242734197942834
586,3.0,8.0,0.9999,0.5185613100683899
587,3.0,8.0,1.0,0.4977810666423728
588,3.0,9.0,0.1,0.3329376128235617
589,3.0,9.0,0.2,0.32377135963248177
590,3.0,9.0,0.3,0.3779162815245579
591,3.0,9.0,0.4,0.30985406369986057
592,3.0,9.0,0.5,0.372595211897547
593,3.0,9.0,0.6,0.3312612939710703
594,3.0,9.0,0.7,0.304514300649643
595,3.0,9.0,0.8,0.3191152626386528
596,3.0,9.0,0.82,0.3920058285695485
597,3.0,9.0,0.84,0.31946870219582546
598,3.0,9.0,0.86,0.40924489651603785
599,3.0,9.0,0.88,0.4000705191845041
600,3.0,9.0,0.9,0.3790446300797763
601,3.0,9.0,0.92,0.4035784522462358
602,3.0,9.0,0.94,0.3873374320590725
603,3.0,9.0,0.96,0.3892586685435304
604,3.0,9.0,0.98,0.41177201359840915
605,3.0,9.0,0.99,0.45077338092798436
606,3.0,9.0,0.999,0.4501706902594576
